lambda = 0.25, R^2 = 0.9955008586127481
lambda = 0.5, R^2 = 0.9955008586127481
lambda = 0.75, R^2 = 0.995500858612749
lambda = 1.0, R^2 = 0.9955008586127481
lambda = 1.25, R^2 = 0.9955008586127498
lambda = 1.5, R^2 = 0.995500858612749
lambda = 1.75, R^2 = 0.9955008586127496
lambda = 2.0, R^2 = 0.9955008586127481
lambda = 2.25, R^2 = 0.9955008586127496
lambda = 2.5, R^2 = 0.9955008586127498
lambda = 2.75, R^2 = 0.9955008586127492
lambda = 3.0, R^2 = 0.995500858612749
lambda = 3.25, R^2 = 0.9955008586127503
lambda = 3.5, R^2 = 0.9955008586127496
lambda = 3.75, R^2 = 0.9955008586127492
lambda = 4.0, R^2 = 0.9955008586127481
lambda = 4.25, R^2 = 0.9955008586127494
lambda = 4.5, R^2 = 0.9955008586127496
lambda = 4.75, R^2 = 0.995500858612749
lambda = 5.0, R^2 = 0.9955008586127498
lambda = 5.25, R^2 = 0.9955008586127487
lambda = 5.5, R^2 = 0.9955008586127492
lambda = 5.75, R^2 = 0.9955008586127496
lambda = 6.0, R^2 = 0.995500858612749
lambda = 6.25, R^2 = 0.9955008586127498
lambda = 6.5, R^2 = 0.9955008586127503
lambda = 6.75, R^2 = 0.9955008586127494
lambda = 7.0, R^2 = 0.9955008586127496
lambda = 7.25, R^2 = 0.9955008586127496
lambda = 7.5, R^2 = 0.9955008586127492
lambda = 7.75, R^2 = 0.995500858612749
lambda = 8.0, R^2 = 0.9955008586127481
lambda = 8.25, R^2 = 0.995500858612749
lambda = 8.5, R^2 = 0.9955008586127494
lambda = 8.75, R^2 = 0.9955008586127494
lambda = 9.0, R^2 = 0.9955008586127496
lambda = 9.25, R^2 = 0.995500858612749
lambda = 9.5, R^2 = 0.995500858612749
lambda = 9.75, R^2 = 0.9955008586127505
lambda = 10.0, R^2 = 0.9955008586127498
lambda = 10.25, R^2 = 0.995500858612749
lambda = 10.5, R^2 = 0.9955008586127487
lambda = 10.75, R^2 = 0.9955008586127496
lambda = 11.0, R^2 = 0.9955008586127492
lambda = 11.25, R^2 = 0.9955008586127494
lambda = 11.5, R^2 = 0.9955008586127496
lambda = 11.75, R^2 = 0.9955008586127492
lambda = 12.0, R^2 = 0.995500858612749
lambda = 12.25, R^2 = 0.995500858612749
lambda = 12.5, R^2 = 0.9955008586127498
lambda = 12.75, R^2 = 0.9955008586127478
lambda = 13.0, R^2 = 0.9955008586127503
lambda = 13.25, R^2 = 0.995500858612749
lambda = 13.5, R^2 = 0.9955008586127494
lambda = 13.75, R^2 = 0.9955008586127485
lambda = 14.0, R^2 = 0.9955008586127496
lambda = 14.25, R^2 = 0.9955008586127496
lambda = 14.5, R^2 = 0.9955008586127496
lambda = 14.75, R^2 = 0.9955008586127492
lambda = 15.0, R^2 = 0.9955008586127492
lambda = 15.25, R^2 = 0.9955008586127494
lambda = 15.5, R^2 = 0.995500858612749
lambda = 15.75, R^2 = 0.9955008586127494
lambda = 16.0, R^2 = 0.9955008586127481
lambda = 16.25, R^2 = 0.9955008586127492
lambda = 16.5, R^2 = 0.995500858612749
lambda = 16.75, R^2 = 0.9955008586127501
lambda = 17.0, R^2 = 0.9955008586127494
lambda = 17.25, R^2 = 0.9955008586127494
lambda = 17.5, R^2 = 0.9955008586127494
lambda = 17.75, R^2 = 0.995500858612749
lambda = 18.0, R^2 = 0.9955008586127496
lambda = 18.25, R^2 = 0.9955008586127505
lambda = 18.5, R^2 = 0.995500858612749
lambda = 18.75, R^2 = 0.9955008586127496
lambda = 19.0, R^2 = 0.995500858612749
lambda = 19.25, R^2 = 0.9955008586127492
lambda = 19.5, R^2 = 0.9955008586127505
lambda = 19.75, R^2 = 0.9955008586127501
lambda = 20.0, R^2 = 0.9955008586127498
lambda = 20.25, R^2 = 0.9955008586127498
lambda = 20.5, R^2 = 0.995500858612749
lambda = 20.75, R^2 = 0.9955008586127503
lambda = 21.0, R^2 = 0.9955008586127487
lambda = 21.25, R^2 = 0.9955008586127492
lambda = 21.5, R^2 = 0.9955008586127496
lambda = 21.75, R^2 = 0.9955008586127496
lambda = 22.0, R^2 = 0.9955008586127492
lambda = 22.25, R^2 = 0.9955008586127503
lambda = 22.5, R^2 = 0.9955008586127494
lambda = 22.75, R^2 = 0.9955008586127501
lambda = 23.0, R^2 = 0.9955008586127496
lambda = 23.25, R^2 = 0.9955008586127496
lambda = 23.5, R^2 = 0.9955008586127492
lambda = 23.75, R^2 = 0.995500858612749
lambda = 24.0, R^2 = 0.995500858612749
lambda = 24.25, R^2 = 0.9955008586127487
lambda = 24.5, R^2 = 0.995500858612749
lambda = 24.75, R^2 = 0.9955008586127494
